학원명,학원주소,설립자-성명,전화번호,교습과정,교습과목(반),정원,교습기간,총교습시간(분),교습비,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,강사수
수학엠플러스학원,서울특별시 동대문구 한천로 165  3층 (답십리동),손해숙,02-2244-2577,보습,"중등단과(수학,영어)",44,1개월 0일,"1,890","140,000",0,0,0,0,0,0,0,"140,000",4
수학엠플러스학원,서울특별시 동대문구 한천로 165  3층 (답십리동),손해숙,02-2244-2577,보습,"고등단과(수학,영어)",44,1개월 0일,"1,890","160,000",0,0,0,0,0,0,0,"160,000",4
해법영어배봉학원,"서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",박은정,02-2249-6046,보습,초등일반수학,10,1개월 0일,"1,260","160,000",0,0,0,0,0,0,0,"160,000",2
해법영어배봉학원,"서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",박은정,02-2249-6046,보습,초등엘리트수학,10,1개월 0일,"1,890","210,000",0,0,0,0,0,0,0,"210,000",2
해법영어배봉학원,"서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",박은정,02-2249-6046,보습,중등일반수학,10,1개월 0일,"1,134","190,000",0,0,0,0,0,0,0,"190,000",2
해법영어배봉학원,"서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",박은정,02-2249-6046,보습,중등엘리드수학,10,1개월 0일,"1,890","290,000",0,0,0,0,0,0,0,"290,000",2
해법영어배봉학원,"서울특별시 동대문구 사가정로 191  전농우성아파트 상가4층7,8,9호 (전농동)",박은정,02-2249-6046,보습,고등수학,2,1개월 0일,756,"150,000",0,0,0,0,0,0,0,"150,000",2
동부교연보습학원,서울특별시 동대문구 천호대로16길 12  3층4층 (용두동),노희진이재민,02-925-1600,보습,초등수학,14,1개월 0일,"1,260","180,000",0,0,0,0,0,0,0,"180,000",9
동부교연보습학원,서울특별시 동대문구 천호대로16길 12  3층4층 (용두동),노희진이재민,02-925-1600,보습,고2수학(문과),14,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",9
동부교연보습학원,서울특별시 동대문구 천호대로16길 12  3층4층 (용두동),노희진이재민,02-925-1600,보습,고2수학(이과),14,1개월 0일,"1,512","300,000",0,0,0,0,0,0,0,"300,000",9
동부교연보습학원,서울특별시 동대문구 천호대로16길 12  3층4층 (용두동),노희진이재민,02-925-1600,보습,고3수학(문과),14,1개월 0일,"1,512","300,000",0,0,0,0,0,0,0,"300,000",9
동부교연보습학원,서울특별시 동대문구 천호대로16길 12  3층4층 (용두동),노희진이재민,02-925-1600,보습,고3수학(이과),14,1개월 0일,"1,890","350,000",0,0,0,0,0,0,0,"350,000",9
한얼보습학원,"서울특별시 동대문구 한천로 212 , 2층 일부 (장안동)",김상훈,02-2212-6749,보습,중등수학,10,1개월 0일,"2,520","240,000",0,0,0,0,0,0,0,"240,000",2
한얼보습학원,"서울특별시 동대문구 한천로 212 , 2층 일부 (장안동)",김상훈,02-2212-6749,보습,고등수학,10,1개월 0일,"2,520","260,000",0,0,0,0,0,0,0,"260,000",2
가나보습학원,서울특별시 중랑구 동일로130길 57  (2층) (중화동),반성희,02-494-9425,보습,초등수학,13,1개월 0일,"1,050","120,000",0,0,0,0,0,0,0,"120,000",5
명선학원,"서울특별시 동대문구 황물로 42 , 2층일부 (답십리동)",신동주,02-2244-2498,보습,중등수학,10,1개월 0일,"1,260","200,000",0,0,0,0,0,0,0,"200,000",5
명선학원,"서울특별시 동대문구 황물로 42 , 2층일부 (답십리동)",신동주,02-2244-2498,보습,고등 수학,10,1개월 0일,"1,260","240,000",0,0,0,0,0,0,0,"240,000",5
YBM잉글루학원,"서울특별시 중랑구 면목로48길 49 , 2층 (면목동,21세기보습학원)",황현숙,02-495-4484,보습,초등수학,10,1개월 0일,"1,260","180,000",0,0,0,0,0,0,0,"180,000",3
신현대보습학원,서울특별시 동대문구 이문로1길 21 3층,김영순,02-964-3434,보습,초등수학,10,1개월 0일,"1,260","200,000",0,0,0,0,0,0,0,"200,000",5
신현대보습학원,서울특별시 동대문구 이문로1길 21 3층,김영순,02-964-3434,보습,초등수학,10,1개월 0일,"1,008","140,000",0,0,0,0,0,0,0,"140,000",5
신현대보습학원,서울특별시 동대문구 이문로1길 21 3층,김영순,02-964-3434,보습,중등수학,14,1개월 0일,945,"170,000",0,0,0,0,0,0,0,"170,000",5
신현대보습학원,서울특별시 동대문구 이문로1길 21 3층,김영순,02-964-3434,보습,고등수학,14,1개월 0일,"1,260","210,000",0,0,0,0,0,0,0,"210,000",5
신현대보습학원,서울특별시 동대문구 이문로1길 21 3층,김영순,02-964-3434,보습,고등수학(이과),10,1개월 0일,"1,260","250,000",0,0,0,0,0,0,0,"250,000",5
큰샘학원,서울특별시 중랑구 겸재로49길 53 2층(면목본동),김순희,02-437-9037,보습,중등수학,17,1개월 0일,"1,890","150,000",0,0,0,0,0,0,0,"150,000",2
엠아이티아카데미학원,"서울특별시 중랑구 봉우재로71길 34  (2층,3층) (망우동)",이강철,02-2209-0001,보습,초등수학단과,15,1개월 0일,"1,050","100,000",0,0,0,0,0,0,0,"100,000",3
엠아이티아카데미학원,"서울특별시 중랑구 봉우재로71길 34  (2층,3층) (망우동)",이강철,02-2209-0001,보습,중등수학단과,15,1개월 0일,840,"100,000",0,0,0,0,0,0,0,"100,000",3
엠아이티아카데미학원,"서울특별시 중랑구 봉우재로71길 34  (2층,3층) (망우동)",이강철,02-2209-0001,보습,고등수학단과,15,1개월 0일,840,"100,000",0,0,0,0,0,0,0,"100,000",3
박정호학원,서울특별시 동대문구 천호대로91길 83  3층 (장안동),박정호,02-3390-9905,종합(대),중3(수학),10,1개월 0일,"1,680","240,000",0,0,0,0,0,0,0,"240,000",5
박정호학원,서울특별시 동대문구 천호대로91길 83  3층 (장안동),박정호,02-3390-9905,종합(대),고1(수학),10,1개월 0일,"1,680","240,000",0,0,0,0,0,0,0,"240,000",5
박정호학원,서울특별시 동대문구 천호대로91길 83  3층 (장안동),박정호,02-3390-9905,종합(대),고2(수학),10,1개월 0일,"1,680","240,000",0,0,0,0,0,0,0,"240,000",5
박정호학원,서울특별시 동대문구 천호대로91길 83  3층 (장안동),박정호,02-3390-9905,종합(대),고3(수학),10,1개월 0일,"1,680","270,000",0,0,0,0,0,0,0,"270,000",5
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"초등수학3,4",10,1개월 0일,840,"134,000",0,0,0,0,0,0,0,"134,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"초등수학5,6",10,1개월 0일,945,"150,000",0,0,0,0,0,0,0,"150,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"중등수학1,2,3",10,1개월 0일,756,"139,500",0,0,0,0,0,0,0,"139,500",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"중등수학1,2,3",10,1개월 0일,"1,008","186,000",0,0,0,0,0,0,0,"186,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"중등수학1,2,3",10,1개월 0일,"1,890","349,000",0,0,0,0,0,0,0,"349,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"고등수학1,2",10,1개월 0일,"1,260","250,000",0,0,0,0,0,0,0,"250,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,고등수학3,10,1개월 0일,"1,512","300,000",0,0,0,0,0,0,0,"300,000",2
이엠아카데미학원,"서울특별시 중랑구 사가정로49길 15 , 3층 (면목동 )",목학수,02-491-0755,보습,"고등수학1,2,3",10,1개월 0일,"2,268","450,000",0,0,0,0,0,0,0,"450,000",2
으뜸학원,"서울특별시 중랑구 용마산로 436 , 4층, 5층 (면목동)",이일숙,02-493-2408,보습,초등수학,15,1개월 0일,"1,050","120,000",0,0,0,0,0,0,0,"120,000",8
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,"초등수학,영어1",20,1개월 0일,"1,008","150,000",0,0,0,0,0,0,0,"150,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,"초등수학,영어2",20,1개월 0일,"1,512","200,000",0,0,0,0,0,0,0,"200,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,"중등수학,영어1",20,1개월 0일,"1,512","240,000",0,0,0,0,0,0,0,"240,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,중등수학2,20,1개월 0일,"1,008","60,000",0,0,0,0,0,0,0,"60,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,중등수학3,20,1개월 0일,"1,008","80,000",0,0,0,0,0,0,0,"80,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,중등수학4,20,1개월 0일,"1,008","100,000",0,0,0,0,0,0,0,"100,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,고등수학1,20,1개월 0일,"2,016","300,000",0,0,0,0,0,0,0,"300,000",7
수재학원,"서울특별시 동대문구 답십리로 133 , 1층, 2층 (답십리동)",오정순,02-2213-0558,보습,고등수학2,20,1개월 0일,"3,024","350,000",0,0,0,0,0,0,0,"350,000",7
명성사관학원,"서울특별시 중랑구 면목로27길 6  (3,4층) (면목동)",이권,02-436-7088,보습,초등(수학),10,1개월 0일,"1,512","170,000",0,0,0,0,0,0,0,"170,000",3
면일보습학원,서울특별시 중랑구 용마산로94길 47  2층) (면목동),구인숙,02-492-6988,보습,초등(수학단과),5,1개월 0일,"1,050","115,000",0,0,0,0,0,0,0,"115,000",2
면일보습학원,서울특별시 중랑구 용마산로94길 47  2층) (면목동),구인숙,02-492-6988,보습,중등(수학단과),5,1개월 0일,"1,260","147,000",0,0,0,0,0,0,0,"147,000",2
정상보습학원,"서울특별시 중랑구 면목로48길 65 , 2,3층 (면목동, 경상빌딩)",황성수,02-2208-4222,보습,초등단과(수학),10,1개월 0일,"1,134","150,000",0,0,0,0,0,0,0,"150,000",9
정상보습학원,"서울특별시 중랑구 면목로48길 65 , 2,3층 (면목동, 경상빌딩)",황성수,02-2208-4222,보습,"초등연합(영어,수학)",10,1개월 0일,"1,974","260,000",0,0,0,0,0,0,0,"260,000",9
정상보습학원,"서울특별시 중랑구 면목로48길 65 , 2,3층 (면목동, 경상빌딩)",황성수,02-2208-4222,보습,고등단과(수학),8,1개월 0일,"1,260","250,000",0,0,0,0,0,0,0,"250,000",9
정상보습학원,"서울특별시 중랑구 면목로48길 65 , 2,3층 (면목동, 경상빌딩)",황성수,02-2208-4222,보습,고등단과(수학),8,1개월 0일,"1,512","300,000",0,0,0,0,0,0,0,"300,000",9
정상보습학원,"서울특별시 중랑구 면목로48길 65 , 2,3층 (면목동, 경상빌딩)",황성수,02-2208-4222,보습,고등단과(수학),8,1개월 0일,"1,764","350,000",0,0,0,0,0,0,0,"350,000",9
기픈보습학원,"서울특별시 동대문구 망우로 120 , 2층 (휘경동)",김애숙,02-2214-4431,보습,초등(수학),10,1개월 0일,"2,100","170,000",0,0,0,0,0,0,0,"170,000",4
기픈보습학원,"서울특별시 동대문구 망우로 120 , 2층 (휘경동)",김애숙,02-2214-4431,보습,중등수학단과,15,1개월 0일,"1,260","200,000",0,0,0,0,0,0,0,"200,000",4
프라임에듀학원,서울특별시 중랑구 봉우재로5길 4  3층4층 (면목동),최인성,02-2207-8000,보습,고등단과(수학),10,1개월 0일,"1,050","200,000",0,0,0,0,0,0,0,"200,000",7
이문보습학원,"서울특별시 동대문구 한천로 481 , 2층  (이문동)",이현춘,02-969-0021,보습,초등단과(수학),10,1개월 0일,"1,134","170,000",0,0,0,0,0,0,0,"170,000",6
이문보습학원,"서울특별시 동대문구 한천로 481 , 2층  (이문동)",이현춘,02-969-0021,보습,중등단과(수학),10,1개월 0일,"1,134","170,000",0,0,0,0,0,0,0,"170,000",6
이문보습학원,"서울특별시 동대문구 한천로 481 , 2층  (이문동)",이현춘,02-969-0021,보습,고등단과(수학),7,1개월 0일,"1,134","210,000",0,0,0,0,0,0,0,"210,000",6
중앙플러스학원,서울특별시 동대문구 천호대로77길 94  2층 (장안동),윤영미,02-2215-4247,보습,중등수학,9,1개월 0일,"1,050","160,000",0,0,0,0,0,0,0,"160,000",4
교우보습학원,"서울특별시 동대문구 사가정로 93 , 3층일부 (전농동,동광교회)",고희권,02-2216-6216,보습,"고등단과(영어, 수학)",10,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
교우보습학원,"서울특별시 동대문구 사가정로 93 , 3층일부 (전농동,동광교회)",고희권,02-2216-6216,보습,고등단과( 이과 수학),10,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",5
뉴비전학원,"서울특별시 중랑구 신내로7가길 19  3층,4층 (상봉동)",서순석,02-434-9811,보습,"초등(영어,수학,전과목)",12,1개월 0일,"3,150","300,000",0,0,0,0,0,0,0,"300,000",7
신대산학원,"서울특별시 중랑구 동일로 814 , 3층  (중화동,광천빌딩)",김광주,02-434-4220,보습,고등수학1,15,1개월 0일,"1,512","200,000",0,0,0,0,0,0,0,"200,000",8
신대산학원,"서울특별시 중랑구 동일로 814 , 3층  (중화동,광천빌딩)",김광주,02-434-4220,보습,고등수학2,10,1개월 0일,"1,512","250,000",0,0,0,0,0,0,0,"250,000",8
신대산학원,"서울특별시 중랑구 동일로 814 , 3층  (중화동,광천빌딩)",김광주,02-434-4220,보습,중등수학,15,1개월 0일,"1,134","200,000",0,0,0,0,0,0,0,"200,000",8
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,"1,260","190,000",0,0,0,0,0,0,0,"190,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,"1,890","270,000",0,0,0,0,0,0,0,"270,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,"1,680","260,000",0,0,0,0,0,0,0,"260,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,"1,050","160,000",0,0,0,0,0,0,0,"160,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,"1,050","150,000",0,0,0,0,0,0,0,"150,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,초등단과(수학),10,1개월 0일,630,"100,000",0,0,0,0,0,0,0,"100,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,중등단과(수학),10,1개월 0일,"1,701","240,000",0,0,0,0,0,0,0,"240,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,중등단과(수학),10,1개월 0일,"1,701","220,000",0,0,0,0,0,0,0,"220,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,고등단과(이과수학),10,1개월 0일,"2,268","400,000",0,0,0,0,0,0,0,"400,000",11
청량대성앤(N)학원,"서울특별시 동대문구 제기로 131 , 103,104,203,204,205,206,501,502,506호 (청량리동, 한신아파트)",김원희,02-3295-3636,보습,고등단과(이과수학),10,1개월 0일,"2,268","420,000",0,0,0,0,0,0,0,"420,000",11
에이플러스보습학원,"서울특별시 중랑구 망우로 489 , 2층 (망우동,농협)",(주)에이플러스학원,02-439-9692,보습,중등심화(수학),10,1개월 0일,"1,512","240,000",0,0,0,0,0,0,0,"240,000",14
에이플러스보습학원,"서울특별시 중랑구 망우로 489 , 2층 (망우동,농협)",(주)에이플러스학원,02-439-9692,보습,초등수학(경시),10,1개월 0일,"1,512","240,000",0,0,0,0,0,0,0,"240,000",14
에이플러스보습학원,"서울특별시 중랑구 망우로 489 , 2층 (망우동,농협)",(주)에이플러스학원,02-439-9692,보습,초등수학(일반),10,1개월 0일,"1,008","150,000",0,0,0,0,0,0,0,"150,000",14
브리튼아이네트제1관학원,서울특별시 동대문구 약령시로21길 30  현대아파트 상가2층 (청량리동),유경노,02-965-2618,보습,고등수학,8,1개월 0일,"1,344","260,000",0,0,0,0,0,0,0,"260,000",3
브리튼아이네트제1관학원,서울특별시 동대문구 약령시로21길 30  현대아파트 상가2층 (청량리동),유경노,02-965-2618,보습,중등수학,8,1개월 0일,"1,260","220,000",0,0,0,0,0,0,0,"220,000",3
브리튼아이네트제1관학원,서울특별시 동대문구 약령시로21길 30  현대아파트 상가2층 (청량리동),유경노,02-965-2618,보습,초등수학(A),8,1개월 0일,"1,176","180,000",0,0,0,0,0,0,0,"180,000",3
브리튼아이네트제1관학원,서울특별시 동대문구 약령시로21길 30  현대아파트 상가2층 (청량리동),유경노,02-965-2618,보습,초등수학(B),8,1개월 0일,"1,764","260,000",0,0,0,0,0,0,0,"260,000",3
한얼보습학원,"서울특별시 중랑구 신내로 71 , 4층 일부 (신내동)",박민경,02-496-7537,보습,초등수학,5,1개월 0일,"1,134","150,000",0,0,0,0,0,0,0,"150,000",2
한얼보습학원,"서울특별시 중랑구 신내로 71 , 4층 일부 (신내동)",박민경,02-496-7537,보습,중등수학,5,1개월 0일,"1,134","180,000",0,0,0,0,0,0,0,"180,000",2
한얼보습학원,"서울특별시 중랑구 신내로 71 , 4층 일부 (신내동)",박민경,02-496-7537,보습,고등수학,5,1개월 0일,"1,134","220,000",0,0,0,0,0,0,0,"220,000",2
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,초등수학,15,1개월 0일,"1,260","150,000",0,0,0,0,0,0,0,"150,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,중등수학(1),15,1개월 0일,"1,260","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,중등수학(2),15,1개월 0일,756,"120,000",0,0,0,0,0,0,0,"120,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학1,15,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학1,15,1개월 0일,672,"130,000",0,0,0,0,0,0,0,"130,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학1,15,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학2,15,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학2,15,1개월 0일,672,"130,000",0,0,0,0,0,0,0,"130,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학2,15,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(미적분1),15,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(미적분2),15,1개월 0일,672,"130,000",0,0,0,0,0,0,0,"130,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(미적분2),15,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(확률과통계),15,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(확률과통계),15,1개월 0일,672,"130,000",0,0,0,0,0,0,0,"130,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(확률과통계),15,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(기하와백터),15,1개월 0일,"1,008","200,000",0,0,0,0,0,0,0,"200,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(기하와백터),15,1개월 0일,672,"130,000",0,0,0,0,0,0,0,"130,000",5
일류보습학원,서울특별시 중랑구 동일로140길 15  (3층일부) (중화동),양춘희,02-2209-1616,보습,고등수학(기하와백터),15,1개월 0일,504,"100,000",0,0,0,0,0,0,0,"100,000",5
에프엠(FM)최강수학학원,서울특별시 동대문구 답십리로 224-1  2층3층4층 (답십리동),박애준,02-2243-4251,보습,초등수학1,15,1개월 0일,"1,218","170,000",0,0,0,0,0,0,0,"170,000",10
에프엠(FM)최강수학학원,서울특별시 동대문구 답십리로 224-1  2층3층4층 (답십리동),박애준,02-2243-4251,보습,초등수학2,15,1개월 0일,"1,134","170,000",0,0,0,0,0,0,0,"170,000",10
에프엠(FM)최강수학학원,서울특별시 동대문구 답십리로 224-1  2층3층4층 (답십리동),박애준,02-2243-4251,보습,초등수학3,15,1개월 0일,"1,449","210,000",0,0,0,0,0,0,0,"210,000",10
에프엠(FM)최강수학학원,서울특별시 동대문구 답십리로 224-1  2층3층4층 (답십리동),박애준,02-2243-4251,보습,중등수학1,15,1개월 0일,"1,134","180,000",0,0,0,0,0,0,0,"180,000",10
에프엠(FM)최강수학학원,서울특별시 동대문구 답십리로 224-1  2층3층4층 (답십리동),박애준,02-2243-4251,보습,중등수학2,15,1개월 0일,"1,344","220,000",0,0,0,0,0,0,0,"220,000",10
